PL;S_PL
Bandara/Pelabuhan;1.34
Hutan Lahan Kering Primer;5
Hutan Lahan Kering Sekunder;5
Hutan Rawa Primer;4.34
Hutan Rawa Sekunder;4.21
Hutan Tanaman;2.76
Perkebunan;2.68
Permukiman;1.65
Transmigrasi;2.78
Pertambangan;1
Pertanian Lahan Kering;2.61
Pertanian Lahan Kering Campur;2.68
Rawa;4.8
Savana/Padang Rumput;2.79
Sawah;2.77
Semak Belukar;2.9
Semak Belukar Rawa;4.62
Tambak;2.8
Perkebunan Pohon;2.48
Perkebunan Perdu;2.2
Perkebunan Terna;1.65
Perkebunan Semak;2.2
Perkebunan Palma;1.93
Permukiman Perkotaan;1.65
Permukiman Perdesaan;2.78
Transmigrasi;2
Tubuh Air Alami;5
Tubuh Air Buatan;5
Sungai;4.5
Kolam Bekas Tambang;4
Embung;4
Lahan Terbuka;1.01
Lahan Terbuka Diperkeras;1.01
Lahan Terbuka Berpasir;1.44
Lahan Terbuka Berbatu;1.01
Lahan Terbuka Berlumpur;1.22
RTH Perkotaan;3
Hutan Kota;4
Industri;1.65
Saluran Air (Tidak Dirinci);4.5
Kolam Oksidasi dan Pengelolaan Limbah;1.65
Tempat Penimbunan dan Pembuangan Sampah;1.01
Hutan Mangrove Primer;3.61
Hutan Mangrove Sekunder;3.6
Savana;2.79
Padang Rumput;2.7
