VEGETASI;VEGETASI_Standar;S_VE
Vegetasi hutan batuan ultrabasa;Vegetasi hutan batuan ultrabasa pamah;3.44852
Vegetasi hutan batuan ultrabasa pamah;Vegetasi hutan batuan ultrabasa pamah;3.44852
Vegetasi hutan batuan ultrabasa pamah monsun;Vegetasi hutan batuan ultrabasa pamah monsun;2.490932
Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;2.756441
Vegetasi hutan batuan ultrabasa pamah monsun merangas;Vegetasi hutan batuan ultrabasa pamah monsun merangas;1.694407
Vegetasi hutan batuan ultrabasa pegunungan;Vegetasi hutan batuan ultrabasa pegunungan;1.776102
Vegetasi hutan batuan ultrabasa pegunungan alpin;Vegetasi hutan batuan ultrabasa pegunungan alpin;1.612712
Vegetasi hutan batuan ultrabasa pegunungan atas;Vegetasi hutan batuan ultrabasa pegunungan atas;1.959915
Vegetasi hutan batuan ultrabasa pegunungan atas monsun;Vegetasi hutan batuan ultrabasa pegunungan atas monsun;1.776102
Vegetasi hutan batuan ultrabasa pegunungan bawah;Vegetasi hutan batuan ultrabasa pegunungan bawah;1.592288
Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;1.980339
Vegetasi hutan batuan ultrabasa pegunungan subalpin;Vegetasi hutan batuan ultrabasa pegunungan subalpin;1.87822
Vegetasi hutan batugamping pamah;Vegetasi hutan batugamping pamah;3.591119
Vegetasi hutan batugamping pamah monsun;Vegetasi hutan batugamping pamah monsun;2.613475
Vegetasi hutan batugamping pamah monsun malar hijau;Vegetasi hutan batugamping pamah monsun malar hijau;3.44852
Vegetasi hutan batugamping pamah monsun merangas;Vegetasi hutan batugamping pamah monsun merangas;2.633898
Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;4.013213
Vegetasi hutan batugamping monsun pamah pada bentang alam karst;Vegetasi hutan batugamping pamah monsun pada bentang alam karst;4.389675
Vegetasi hutan batugamping pamah pada bentang alam karst;Vegetasi hutan batugamping pamah pada bentang alam karst;4.389675
Vegetasi hutan batugamping pegunungan alpin;Vegetasi hutan batugamping pegunungan alpin;2.797288
Vegetasi hutan batugamping pegunungan atas;Vegetasi hutan batugamping pegunungan atas;2.817712
Vegetasi hutan batugamping monsun pegunungan atas pada bentang alam karst;Vegetasi hutan batugamping pegunungan atas monsun pada bentang alam karst;4.087365
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;3.790758
Vegetasi hutan batugamping pegunungan bawah;Vegetasi hutan batugamping pegunungan bawah;3.001525
Vegetasi hutan batugamping pegunungan bawah monsun;Vegetasi hutan batugamping pegunungan bawah monsun;2.307119
Vegetasi hutan batugamping monsun pegunungan bawah pada bentang alam karst;Vegetasi hutan batugamping pegunungan bawah monsun pada bentang alam karst;4.121588
Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;3.802166
Vegetasi hutan batugamping monsun pegunungan pada bentang alam karst;Vegetasi hutan batugamping pegunungan monsun pada bentang alam karst;4.190036
Vegetasi hutan batugamping pegunungan pada bentang alam karst;Vegetasi hutan batugamping pegunungan pada bentang alam karst;3.785054
Vegetasi hutan batugamping pegunungan subalpin;Vegetasi hutan batugamping pegunungan subalpin;2.838136
Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;Vegetasi hutan batugamping pegunungan subalpin monsun pada bentang alam karst;4.110181
Vegetasi hutan batugamping monsun pegunungan subalpin pada bentang alam karst;Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;3.739422
Vegetasi hutan danau;Vegetasi hutan danau;4.435307
Vegetasi hutan danau gambut;Vegetasi hutan danau gambut;3.950469
Vegetasi hutan dipterokarpa pamah;Vegetasi hutan dipterokarpa pamah;4.754729
Vegetasi hutan gambut;Vegetasi hutan gambut;3.956173
Vegetasi hutan kerangas pamah;Vegetasi hutan kerangas;3.41
Vegetasi hutan kerangas pamah monsun;Vegetasi hutan kerangas monsun;2.409237
Vegetasi hutan pamah (non dipterokarpa);Vegetasi hutan pamah (non dipterokarpa);5
Vegetasi hutan pamah monsun malar hijau;Vegetasi hutan pamah monsun malar hijau;4.441011
Vegetasi hutan pamah monsun merangas;Vegetasi hutan pamah monsun merangas;3.596823
Vegetasi hutan pantai;Vegetasi hutan pantai;3.568303
Vegetasi hutan pantai monsun;Vegetasi hutan pantai monsun;3.648159
Vegetasi hutan pegunungan atas;Vegetasi hutan pegunungan atas;2.225424
Vegetasi hutan pegunungan atas monsun;Vegetasi hutan pegunungan atas monsun;2.878983
Vegetasi hutan pegunungan bawah;Vegetasi hutan pegunungan bawah;2.387
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest);Vegetasi hutan pegunungan bawah monsun;2.756441
Vegetasi hutan pegunungan meranggas pada bukit tinggi (deciduous forest on higher hills);Vegetasi hutan pegunungan meranggas pada bukit tinggi;1.837373
Vegetasi hutan pegunungan subalpin;Vegetasi hutan pegunungan subalpin;2.123305
Vegetasi hutan pegunungan subalpin monsun;Vegetasi hutan pegunungan subalpin monsun;1.776102
Vegetasi hutan rawa air payau;Vegetasi hutan rawa air payau;1.694407
Vegetasi hutan rawa air payau pada bentang alam karst;Vegetasi hutan rawa air payau;1.694407
Vegetasi hutan rawa air payau monsun pada bentang alam karst;Vegetasi hutan rawa air payau monsun;3.442816
Vegetasi hutan rawa air tawar;Vegetasi hutan rawa air tawar;4.178628
Vegetasi hutan rawa air tawar monsun;Vegetasi hutan rawa air tawar monsun;3.682383
Vegetasi hutan rawa air tawar monsun pada bentang alam karst;Vegetasi hutan rawa air tawar monsun;3.682383
Vegetasi hutan rawa air tawar pada bentang alam karst;Vegetasi hutan rawa air tawar;4.178628
