PL_KABKOTA,S_PL_KABKOTA
Bandara/Pelabuhan ,1
Hutan Lahan Kering Primer ,4
Hutan Lahan Kering Sekunder ,3
Hutan Rawa Primer ,5
Hutan Rawa Sekunder ,3
Hutan Tanaman ,2
Perkebunan ,2
Permukiman ,1
Transmigrasi,1
Pertambangan ,1
Pertanian Lahan Kering ,3
Pertanian Lahan Kering Campur ,4
Rawa ,4
Savana/Padang Rumput ,2
Sawah ,5
Semak Belukar ,3
Semak Belukar Rawa ,4
Tambak ,5
Perkebunan Pohon,1.75
Perkebunan Perdu,1.5
Perkebunan Terna,2
Perkebunan Semak,1.25
Perkebunan Palma,1.75
Permukiman Perkotaan,1
Permukiman Perdesaan,1
Transmigrasi,1
Tubuh Air Alami,3.75
Tubuh Air Buatan,3.75
Sungai,4
Kolam Bekas Tambang,3.25
Embung,3.5
Lahan Terbuka,1
Lahan Terbuka Diperkeras,1
Lahan Terbuka Berpasir,1.33
Lahan Terbuka Berbatu,1
Lahan Terbuka Berlumpur,1.67
RTH Perkotaan,2
Hutan Kota,2
Industri,1
Saluran Air (Tidak Dirinci),3.5
Kolam Oksidasi dan Pengelolaan Limbah,1
Tempat Penimbunan dan Pembuangan Sampah,1
Hutan Mangrove Primer,5
Hutan Mangrove Sekunder,4
Savana,3
Padang Rumput,3
