PL;S_PL
Bandara/Pelabuhan;1.03
Hutan Lahan Kering Primer;5
Hutan Lahan Kering Sekunder;4.11
Hutan Rawa Primer;2.82
Hutan Rawa Sekunder;2.81
Hutan Tanaman;1.76
Perkebunan;1.76
Permukiman;1.47
Pertambangan;1
Pertanian Lahan Kering;2.23
Pertanian Lahan Kering Campur;2.4
Rawa;2.25
Savana/Padang Rumput;2.29
Sawah;1.37
Semak Belukar;2.7
Semak Belukar Rawa;2.05
Tambak;1.33
Perkebunan Pohon;2.17
Perkebunan Perdu;1.7
Perkebunan Terna;1.47
Perkebunan Semak;1.7
Perkebunan Palma;1.94
Permukiman Perkotaan;1.47
Permukiman Perdesaan;1.58
Transmigrasi;1.58
Tubuh Air Alami;5
Tubuh Air Buatan;5
Sungai;5
Kolam Bekas Tambang;1
Embung;1.11
Lahan Terbuka;1.01
Lahan Terbuka Diperkeras;1.01
Lahan Terbuka Berpasir;1.11
Lahan Terbuka Berbatu;1.01
Lahan Terbuka Berlumpur;1.06
RTH Perkotaan;1.76
Hutan Kota;2.03
Industri;1.47
Saluran Air (Tidak Dirinci);1.11
Kolam Oksidasi dan Pengelolaan Limbah;1
Tempat Penimbunan dan Pembuangan Sampah;1.01
Hutan Mangrove Primer;3.5
Hutan Mangrove Sekunder;3
Savana;2.29
Padang Rumput;2.26
