EKOREGION;EKOREGION_Standar;S_EK
Danau;Danau;1.2
Danau pegunungan;Danau;1.2
Dataran fluvial bermaterial aluvium;Dataran fluvial bermaterial aluvium;5
Dataran fluvial berombak-bergelombang bermaterial aluvium;Dataran fluvial berombak-bergelombang bermaterial aluvium;4.22
Dataran fluviomarin bermaterial aluvium;Dataran fluviomarin bermaterial aluvium;3.62
Dataran fluviovulkanik bermaterial aluvium;Dataran fluviovulkanik bermaterial aluvium;4.09
Dataran lakustrin bermaterial aluvium;Dataran lakustrin bermaterial aluvium;3.75
Dataran marin bermaterial batuan sedimen karbonat;Dataran marin bermaterial batuan sedimen karbonat;2.1
Dataran marin berpasir bermaterial aluvium;Dataran marin berpasir bermaterial aluvium;1.64
Dataran organik bermaterial gambut;Dataran organik bermaterial gambut;3.89
Dataran organik koralian bermaterial batuan sedimen karbonat;Dataran organik koralian bermaterial batuan sedimen karbonat;1.32
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;1.01
Dataran solusional karst bermaterial batuan sedimen karbonat;Dataran solusional karst bermaterial batuan sedimen karbonat;3.06
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;3.61
Dataran struktural bermaterial batuan sedimen karbonat;Dataran struktural bermaterial batuan sedimen karbonat;2.48
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;1.86
Dataran struktural lipatan bermaterial batuan metamorfik;Dataran struktural lipatan bermaterial batuan metamorfik;1.81
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;2.85
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;2.19
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;2.56
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;2.13
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;2.19
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;1.45
Dataran vulkanik bermaterial piroklastik;Dataran vulkanik bermaterial piroklastik;4.25
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;4.15
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;4.2
Dataran vulkanik berombak-bergelombang bermaterial piroklastik;Dataran vulkanik berombak-bergelombang bermaterial piroklastik;4.33
Dataran vulkanik kipas bermaterial piroklastik;Dataran vulkanik kipas bermaterial piroklastik;4.25
Lembah sungai bermaterial aluvium;Lembah sungai bermaterial aluvium;4.65
Pegunungan denudasional bermaterial batuan metamorfik;Pegunungan denudasional bermaterial batuan metamorfik;1.1
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);1.15
Pegunungan denudasional bermaterial batuan sedimen karbonat;Pegunungan denudasional bermaterial batuan sedimen karbonat;1.23
Pegunungan denudasional bermaterial batuan sedimen non karbonat;Pegunungan denudasional bermaterial batuan sedimen non karbonat;1.4
