VEGETASI;S_VE
Vegetasi hutan batuan ultrabasa;3
Vegetasi hutan batuan ultrabasa pamah;3
Vegetasi hutan batuan ultrabasa pamah monsun;2
Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;3
Vegetasi hutan batuan ultrabasa pamah monsun merangas;2
Vegetasi hutan batuan ultrabasa pegunungan;2
Vegetasi hutan batuan ultrabasa pegunungan alpin;1
Vegetasi hutan batuan ultrabasa pegunungan atas;1
Vegetasi hutan batuan ultrabasa pegunungan atas monsun;1
Vegetasi hutan batuan ultrabasa pegunungan bawah;2
Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;1
Vegetasi hutan batuan ultrabasa pegunungan subalpin;1
Vegetasi hutan batugamping monsun pamah pada bentang alam karst;3
Vegetasi hutan batugamping monsun pegunungan atas pada bentang alam karst;3
Vegetasi hutan batugamping monsun pegunungan atas pada bentang alam karst;3
Vegetasi hutan batugamping monsun pegunungan bawah pada bentang alam karst;3
Vegetasi hutan batugamping monsun pegunungan pada bentang alam karst;3
Vegetasi hutan batugamping monsun pegunungan subalpin pada bentang alam karst;2
Vegetasi hutan batugamping pamah;3
Vegetasi hutan batugamping pamah monsun;2
Vegetasi hutan batugamping pamah monsun malar hijau;3
Vegetasi hutan batugamping pamah monsun merangas;2
Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;2
Vegetasi hutan batugamping pamah pada bentang alam karst;3
Vegetasi hutan batugamping pegunungan alpin;1
Vegetasi hutan batugamping pegunungan atas;2
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan bawah;3
Vegetasi hutan batugamping pegunungan bawah monsun;2
Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;3
Vegetasi hutan batugamping pegunungan pada bentang alam karst;3
Vegetasi hutan batugamping pegunungan subalpin;1
Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;1
Vegetasi hutan danau;3
Vegetasi hutan danau gambut;2
Vegetasi hutan dipterokarpa pamah;5
Vegetasi hutan gambut;4
Vegetasi hutan kerangas pamah;3
Vegetasi hutan kerangas pamah monsun;2
Vegetasi hutan monsun tepian sungai malar hijau;3
Vegetasi hutan pamah (non dipterokarpa);5
Vegetasi hutan pamah monsun malar hijau;3
Vegetasi hutan pamah monsun merangas;2
Vegetasi hutan pantai;3
Vegetasi hutan pantai monsun;2
Vegetasi hutan pegunungan atas;3
Vegetasi hutan pegunungan atas monsun;2
Vegetasi hutan pegunungan atas monsun;2
Vegetasi hutan pegunungan bawah;4
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest);2
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest);2
Vegetasi hutan pegunungan meranggas pada bukit tinggi (deciduous forest on higher hills);2
Vegetasi hutan pegunungan subalpin;1
Vegetasi hutan pegunungan subalpin monsun;1
Vegetasi hutan rawa air payau;3
Vegetasi hutan rawa air payau monsun pada bentang alam karst;2
Vegetasi hutan rawa air payau pada bentang alam karst;3
Vegetasi hutan rawa air tawar;5
Vegetasi hutan rawa air tawar monsun;4
Vegetasi hutan rawa air tawar monsun pada bentang alam karst;2
Vegetasi hutan rawa air tawar pada bentang alam karst;3
Vegetasi hutan savana sekitar danau;3
Vegetasi hutan tepian sungai;3
Vegetasi hutan tepian sungai malar hijau;3
Vegetasi hutan tepian sungai payau;2
Vegetasi litoral;3
Vegetasi mangrove;5
Vegetasi mangrove monsun;4
Vegetasi nipah;4
Vegetasi nipah monsun;3
Vegetasi padang rumput lahan kering pamah;3
Vegetasi padang rumput monsun pamah;2
Vegetasi padang rumput rawa air payau;3
Vegetasi padang rumput rawa air payau monsun;2
Vegetasi padang rumput rawa air tawar;3
Vegetasi padang rumput rawa air tawar monsun;3
Vegetasi padang rumput rawa gambut pamah;3
Vegetasi padang rumput tepian sungai payau;3
Vegetasi sagu;4
Vegetasi sagu monsun;3
Vegetasi salju batugamping pegunungan alpin;1
Vegetasi savana lahan kering pamah;2
Vegetasi savana monsun pamah;2
Vegetasi savana pegunungan monsun;2
Vegetasi savana rawa air payau;2
Vegetasi savana rawa air tawar;3
Vegetasi savana rawa gambut pamah;2
Vegetasi terna danau gambut pegunungan;2
Vegetasi terna rawa air payau;3
Vegetasi terna rawa air payau monsun pada bentang alam karst;2
Vegetasi terna rawa air payau pada bentang alam karst;3
Vegetasi terna rawa air tawar;4
Vegetasi terna rawa air tawar monsun;3
Vegetasi terna rawa air tawar monsun pada bentang alam karst;2
Vegetasi terna rawa gambut;3
Vegetasi terna rawa monsun;2
Vegetasi terna rawa payau monsun;3
Vegetasi terna savana rawa gambut;2
Vegetasi terna tepian danau;2
Vegetasi terna tepian danau pegunungan;2
Vegetasi terna tepian sungai;3
Vegetasi terna tepian sungai payau;2
