EKOREGION;S_EK
Danau;5
Danau pegunungan;4
Dataran fluvial bermaterial aluvium;5
Dataran fluvial berombak-bergelombang bermaterial aluvium;5
Dataran fluviomarin bermaterial aluvium;4
Dataran fluviovulkanik bermaterial aluvium;5
Dataran lakustrin bermaterial aluvium;5
Dataran marin bermaterial batuan sedimen karbonat;3
Dataran marin berpasir bermaterial aluvium;3
Dataran organik bermaterial gambut;3
Dataran organik koralian bermaterial batuan sedimen karbonat;2
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;2
Dataran solusional karst bermaterial batuan sedimen karbonat;3
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural bermaterial batuan sedimen karbonat;3
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural lipatan bermaterial batuan metamorfik;2
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;2
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;3
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;2
Dataran vulkanik bermaterial piroklastik;4
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;3
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;4
Dataran vulkanik berombak-bergelombang bermaterial piroklastik;4
Dataran vulkanik kipas bermaterial piroklastik;5
Lembah sungai bermaterial aluvium;4
Pegunungan denudasional bermaterial batuan metamorfik;2
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);2
Pegunungan denudasional bermaterial batuan sedimen karbonat;2
Pegunungan denudasional bermaterial batuan sedimen non karbonat;3
Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Pegunungan glasial bermaterial batuan metamorfik;1
Pegunungan glasial bermaterial batuan sedimen karbonat;1
Pegunungan kerucut vulkanik bermaterial batuan beku luar;3
Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan kerucut vulkanik bermaterial piroklastik;4
Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;3
Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;4
Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan solusional karst bermaterial batuan sedimen karbonat;3
Pegunungan struktural lipatan bermaterial batuan metamorfik;2
Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;3
Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;4
Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Pegunungan struktural patahan bermaterial batuan metamorfik;2
Pegunungan struktural plutonik bermaterial batuan beku dalam;2
Pegunungan vulkanik bermaterial batuan beku luar;2
Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan vulkanik bermaterial piroklastik;4
Pegunungan vulkanik lereng bawah bermaterial piroklastik;4
Perbukitan denudasional bermaterial batuan metamorfik;2
Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);2
Perbukitan denudasional bermaterial batuan sedimen karbonat;3
Perbukitan denudasional bermaterial batuan sedimen non karbonat;4
Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Perbukitan denudasional bermaterial piroklastik;3
Perbukitan glasial bermaterial batuan sedimen karbonat;1
Perbukitan kerucut vulkanik bermaterial batuan beku luar;3
Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan kerucut vulkanik bermaterial piroklastik;4
Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;3
Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan solusional karst bermaterial batuan sedimen karbonat;3
Perbukitan struktural lipatan bermaterial batuan metamorfik;2
Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;3
Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;4
Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Perbukitan struktural patahan bermaterial batuan metamorfik;2
Perbukitan struktural plutonik bermaterial batuan beku dalam;2
Perbukitan vulkanik bermaterial batuan beku luar;3
Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan vulkanik bermaterial piroklastik;4
Perbukitan vulkanik kubah lava bermaterial batuan beku luar;3
Perbukitan vulkanik lereng bawah bermaterial piroklastik;4
Perbukitan vulkanik lereng tengah bermaterial piroklastik;4
Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;2
