PLXX,PLXX_PPK
Bandara/Pelabuhan,1
Hutan Lahan Kering Primer,5
Hutan Lahan Kering Sekunder,4.51
Hutan Rawa Primer,3.49
Hutan Rawa Sekunder,3.4
Hutan Tanaman,2.36
Perkebunan,2.36
Permukiman,1
Pertambangan,1
Pertanian Lahan Kering,2.24
Pertanian Lahan Kering Campur,2.31
Rawa,1.47
Savana/Padang Rumput,2.36
Sawah,1.49
Semak Belukar,2.33
Semak Belukar Rawa,1.57
Tambak,1
Perkebunan Pohon,2.36
Perkebunan Perdu,2.02
Perkebunan Terna,1.68
Perkebunan Semak,1.85
Perkebunan Palma,2.19
Permukiman Perkotaan,1
Permukiman Perdesaan,1.51
Transmigrasi,1.51
Tubuh Air Alami,1.02
Tubuh Air Buatan,1.02
Sungai,1.02
Kolam Bekas Tambang,1.02
Embung,1.02
Lahan Terbuka,1
Lahan Terbuka Diperkeras,1
Lahan Terbuka Berpasir,1
Lahan Terbuka Berbatu,1.19
Lahan Terbuka Berlumpur,1.38
RTH Perkotaan,1.93
Hutan Kota,2.36
Industri,1
Saluran Air (Tidak Dirinci),1.02
Kolam Oksidasi dan Pengelolaan Limbah,1
Tempat Penimbunan dan Pembuangan Sampah,1
Hutan Mangrove Primer,3.9
Hutan Mangrove Sekunder,3.61
Savana,2.36
Padang Rumput,2.36
