EKOREGION;S_EK
Danau;2
Dataran fluvial bermaterial aluvium;2
Dataran fluvial berombak-bergelombang bermaterial aluvium;3
Dataran fluviomarin bermaterial aluvium;2
Dataran fluviovulkanik bermaterial aluvium;3
Dataran lakustrin bermaterial aluvium;3
Dataran marin bermaterial batuan sedimen karbonat;1
Dataran marin berpasir bermaterial aluvium;2
Dataran organik bermaterial gambut;5
Dataran organik koralian bermaterial batuan sedimen karbonat;2
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;5
Dataran solusional karst bermaterial batuan sedimen karbonat;2
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;2
Dataran struktural bermaterial batuan sedimen karbonat;3
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural lipatan bermaterial batuan metamorfik;2
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;2
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;2
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;2
Dataran vulkanik bermaterial piroklastik;2
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;2
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;2
Dataran vulkanik berombak-bergelombang bermaterial piroklastik;2
Dataran vulkanik kipas bermaterial piroklastik;1
Lembah sungai bermaterial aluvium;2
Pegunungan denudasional bermaterial batuan metamorfik;3
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);3
Pegunungan denudasional bermaterial batuan sedimen karbonat;3
Pegunungan denudasional bermaterial batuan sedimen non karbonat;2
Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Pegunungan glasial bermaterial batuan metamorfik;3
Pegunungan glasial bermaterial batuan sedimen karbonat;3
Pegunungan kerucut vulkanik bermaterial batuan beku luar;3
Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan kerucut vulkanik bermaterial piroklastik;2
Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;3
Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;2
Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan solusional karst bermaterial batuan sedimen karbonat;2
Pegunungan struktural lipatan bermaterial batuan metamorfik;2
Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;3
Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;2
Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Pegunungan struktural patahan bermaterial batuan metamorfik;3
Pegunungan struktural plutonik bermaterial batuan beku dalam;5
Pegunungan vulkanik bermaterial batuan beku luar;2
Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan vulkanik bermaterial piroklastik;2
Pegunungan vulkanik lereng bawah bermaterial piroklastik;2
Perbukitan denudasional bermaterial batuan metamorfik;3
Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);3
Perbukitan denudasional bermaterial batuan sedimen karbonat;2
Perbukitan denudasional bermaterial batuan sedimen non karbonat;2
Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;2
Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Perbukitan denudasional bermaterial piroklastik;3
Perbukitan glasial bermaterial batuan sedimen karbonat;5
Perbukitan kerucut vulkanik bermaterial batuan beku luar;2
Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2
Perbukitan kerucut vulkanik bermaterial piroklastik;1
Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;2
Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;2
Perbukitan solusional karst bermaterial batuan sedimen karbonat;2
Perbukitan struktural lipatan bermaterial batuan metamorfik;2
Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;2
Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;2
Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Perbukitan struktural patahan bermaterial batuan metamorfik;5
Perbukitan struktural plutonik bermaterial batuan beku dalam;2
Perbukitan vulkanik bermaterial batuan beku luar;2
Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;2
Perbukitan vulkanik bermaterial piroklastik;2
Perbukitan vulkanik kubah lava bermaterial batuan beku luar;3
Perbukitan vulkanik lereng bawah bermaterial piroklastik;1
Perbukitan vulkanik lereng tengah bermaterial piroklastik;1
Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;2
