EKOREGION;EKOREGION_Standar;S_EK
Danau;Danau;1.67
Danau pegunungan;Danau;1.67
Dataran fluvial bermaterial aluvium;Dataran fluvial bermaterial aluvium;2.49
Dataran fluvial berombak-bergelombang bermaterial aluvium;Dataran fluvial berombak-bergelombang bermaterial aluvium;2.74
Dataran fluviomarin bermaterial aluvium;Dataran fluviomarin bermaterial aluvium;2.49
Dataran fluviovulkanik bermaterial aluvium;Dataran fluviovulkanik bermaterial aluvium;2.6
Dataran lakustrin bermaterial aluvium;Dataran lakustrin bermaterial aluvium;2.63
Dataran marin bermaterial batuan sedimen karbonat;Dataran marin bermaterial batuan sedimen karbonat;1.05
Dataran marin berpasir bermaterial aluvium;Dataran marin berpasir bermaterial aluvium;2.46
Dataran organik bermaterial gambut;Dataran organik bermaterial gambut;4.61
Dataran organik koralian bermaterial batuan sedimen karbonat;Dataran organik koralian bermaterial batuan sedimen karbonat;1.76
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;4.58
Dataran solusional karst bermaterial batuan sedimen karbonat;Dataran solusional karst bermaterial batuan sedimen karbonat;1.51
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;1.65
Dataran struktural bermaterial batuan sedimen karbonat;Dataran struktural bermaterial batuan sedimen karbonat;2.81
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;2.8
Dataran struktural lipatan bermaterial batuan metamorfik;Dataran struktural lipatan bermaterial batuan metamorfik;1.62
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;1.76
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;1.71
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;2.77
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;1.58
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;1.58
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;2.47
Dataran vulkanik bermaterial piroklastik;Dataran vulkanik bermaterial piroklastik;2.48
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;2.09
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;1.88
Dataran vulkanik berombak-bergelombang bermaterial piroklastik;Dataran vulkanik berombak-bergelombang bermaterial piroklastik;2.47
Dataran vulkanik kipas bermaterial piroklastik;Dataran vulkanik kipas bermaterial piroklastik;1.12
Lembah sungai bermaterial aluvium;Lembah sungai bermaterial aluvium;2.46
Pegunungan denudasional bermaterial batuan metamorfik;Pegunungan denudasional bermaterial batuan metamorfik;2.78
