VEGETASI;S_VE
Vegetasi hutan batuan ultrabasa pamah;2
Vegetasi hutan batuan ultrabasa pamah monsun;1
Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;2
Vegetasi hutan batuan ultrabasa pamah monsun merangas;1
Vegetasi hutan batuan ultrabasa pegunungan;1
Vegetasi hutan batuan ultrabasa pegunungan alpin;1
Vegetasi hutan batuan ultrabasa pegunungan atas;1
Vegetasi hutan batuan ultrabasa pegunungan atas monsun;1
Vegetasi hutan batuan ultrabasa pegunungan bawah;1
Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;1
Vegetasi hutan batuan ultrabasa pegunungan subalpin;1
Vegetasi hutan batugamping pamah;2
Vegetasi hutan batugamping pamah monsun;1
Vegetasi hutan batugamping pamah monsun malar hijau;2
Vegetasi hutan batugamping pamah monsun merangas;1
Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;2
Vegetasi hutan batugamping pamah monsun pada bentang alam karst;2
Vegetasi hutan batugamping pamah pada bentang alam karst;4
Vegetasi hutan batugamping pegunungan alpin;1
Vegetasi hutan batugamping pegunungan atas;1
Vegetasi hutan batugamping pegunungan atas monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan bawah;4
Vegetasi hutan batugamping pegunungan bawah monsun;2
Vegetasi hutan batugamping pegunungan bawah monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan subalpin;1
Vegetasi hutan batugamping pegunungan subalpin monsun pada bentang alam karst;1
Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;1
Vegetasi hutan danau;4
Vegetasi hutan danau gambut;4
Vegetasi hutan dipterokarpa pamah;5
Vegetasi hutan gambut;4
Vegetasi hutan kerangas;2
Vegetasi hutan kerangas monsun;1
Vegetasi hutan pamah (non dipterokarpa);5
Vegetasi hutan pamah monsun malar hijau;2
Vegetasi hutan pamah monsun merangas;1
Vegetasi hutan pantai;2
Vegetasi hutan pantai monsun;1
Vegetasi hutan pegunungan atas;2
Vegetasi hutan pegunungan atas monsun;1
Vegetasi hutan pegunungan bawah;4
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest);1
Vegetasi hutan pegunungan monsun merangas pada bukit tinggi;1
Vegetasi hutan pegunungan subalpin;1
Vegetasi hutan pegunungan subalpin monsun;1
Vegetasi hutan rawa air payau;2
Vegetasi hutan rawa air payau monsun pada bentang alam karst;2
Vegetasi hutan rawa air payau pada bentang alam karst;2
Vegetasi hutan rawa air tawar;4
Vegetasi hutan rawa air tawar monsun;2
Vegetasi hutan rawa air tawar monsun pada bentang alam karst;2
Vegetasi hutan rawa air tawar pada bentang alam karst;4
Vegetasi hutan tepian sungai air payau;1
Vegetasi hutan tepian sungai air tawar;2
Vegetasi hutan tepian sungai malar hijau;2
Vegetasi litoral;1
Vegetasi mangrove;5
Vegetasi mangrove monsun;4
Vegetasi nipah;4
Vegetasi nipah monsun;2
Vegetasi padang rumput lahan kering pamah;2
Vegetasi padang rumput pamah monsun;1
Vegetasi padang rumput rawa air payau;1
Vegetasi padang rumput rawa air payau monsun;1
Vegetasi padang rumput rawa air tawar;2
Vegetasi padang rumput rawa air tawar monsun;2
Vegetasi padang rumput rawa gambut;2
Vegetasi padang rumput tepian sungai air payau;1
Vegetasi sagu;4
Vegetasi sagu monsun;2
Vegetasi salju batugamping pegunungan alpin;1
Vegetasi savana lahan kering pamah;2
Vegetasi savana pamah monsun;2
Vegetasi savana pegunungan monsun;1
Vegetasi savana rawa air payau;1
Vegetasi savana rawa air tawar;2
Vegetasi savana rawa gambut;2
Vegetasi savana tepian danau;4
Vegetasi terna rawa air payau;1
Vegetasi terna rawa air payau monsun;1
Vegetasi terna rawa air payau monsun pada bentang alam karst;1
Vegetasi terna rawa air payau pada bentang alam karst;2
Vegetasi terna rawa air tawar;4
Vegetasi terna rawa air tawar monsun;2
Vegetasi terna rawa gambut;2
Vegetasi terna savana rawa gambut;2
Vegetasi terna tepian danau;2
Vegetasi terna tepian danau pegunungan;2
Vegetasi terna tepian sungai air payau;1
Vegetasi terna tepian sungai air tawar;2
Vegetasi terna rawa air tawar monsun pada bentang alam karst;2
Vegetasi terna rawa gambut;3
Vegetasi terna rawa monsun;2
Vegetasi terna rawa payau monsun;3
Vegetasi terna savana rawa gambut;2
Vegetasi terna tepian danau;2
Vegetasi terna tepian danau pegunungan;2
Vegetasi terna tepian sungai;3
Vegetasi terna tepian sungai payau;2
