PLXX,PLXX_PYA
Bandara/Pelabuhan,2
Hutan Lahan Kering Primer,3
Hutan Lahan Kering Sekunder,2
Hutan Rawa Primer,3
Hutan Rawa Sekunder,2
Hutan Tanaman,2
Perkebunan,2
Permukiman,2
Pertambangan,1
Pertanian Lahan Kering,2
Pertanian Lahan Kering Campur,2
Rawa,4
Savana/Padang Rumput,1
Sawah,3
Semak Belukar,2
Semak Belukar Rawa,3
Tambak,3
Perkebunan Pohon,2
Perkebunan Perdu,1.75
Perkebunan Terna,1.63
Perkebunan Semak,1.75
Perkebunan Palma,1.88
Permukiman Perkotaan,2
Permukiman Perdesaan,2
Transmigrasi,2
Tubuh Air Alami,5
Tubuh Air Buatan,5
Sungai,5
Kolam Bekas Tambang,3.65
Embung,5
Lahan Terbuka,1
Lahan Terbuka Diperkeras,1
Lahan Terbuka Berpasir,1.25
Lahan Terbuka Berbatu,1.5
Lahan Terbuka Berlumpur,1.75
RTH Perkotaan,2
Hutan Kota,2
Industri,2
Saluran Air (Tidak Dirinci),4.75
Kolam Oksidasi dan Pengelolaan Limbah,2
Tempat Penimbunan dan Pembuangan Sampah,1
Hutan Mangrove Primer,2
Hutan Mangrove Sekunder,2
Savana,1
Padang Rumput,1
