LC;S_LC
Bandara/Pelabuhan;2
Hutan Lahan Kering Primer;3
Hutan Lahan Kering Sekunder;2
Hutan Rawa Primer;3
Hutan Rawa Sekunder;2
Hutan Tanaman;2
Perkebunan;2
Permukiman;2
Pertambangan;1
Pertanian Lahan Kering;2
Pertanian Lahan Kering Campur;2
Rawa;4
Savana/Padang Rumput;1
Sawah;3
Semak Belukar;2
Semak Belukar Rawa;3
Tambak;3
Perkebunan pohon;2
Perkebunan perdu;1.75
Perkebunan terna;1.63
Perkebunan semak;1.75
Perkebunan palma;1.88
Permukiman perkotaan;2
Permukiman perdesaan;2
Transmigrasi;2
Tubuh air alami;5
Tubuh air buatan;5
Sungai;4.75
Kolam bekas tambang;4.25
Embung;4.5
Lahan terbuka;1
Lahan terbuka diperkeras;1
Lahan terbuka berpasir;1.25
Lahan terbuka berbatu;1.5
Lahan terbuka berlumpur;1.75
RTH Perkotaan;2
Hutan Kota;2
Industri;2
Saluran air (tidak dirinci);4.75
Kolam oksidasi dan pengelolaan limbah;2
Tempat penimbunan dan pembuangan sampah;1
Hutan mangrove primer;2
Hutan mangrove sekunder;2
Savana;1
Padang Rumput;1
Padang Rumput;2.36
