CODE,PL
20121,Bandara/Pelabuhan
2001,Hutan Lahan Kering Primer
2002,Hutan Lahan Kering Sekunder
2004,Hutan Mangrove Primer
20041,Hutan Mangrove Sekunder
2005,Hutan Rawa Primer
20051,Hutan Rawa Sekunder
2006,Hutan Tanaman
2014,Lahan Terbuka
2010,Perkebunan
2012,Permukiman
20122,Permukiman Transmigrasi
20141,Pertambangan
20091,Pertanian Lahan Kering
20092,Pertanian Lahan Kering Campur
50011,Rawa
3000,Savana/Padang Rumput
20093,Sawah
2007,Semak Belukar
20071,Semak Belukar Rawa
20094,Tambak
5001,Tubuh Air
